n,pattern,seed,policy,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
12,B5,123,nearest_neighbor,70.9487,33.3353,2.1283,5.4599,,15,3,True,-5.063064,False,False
12,B5,123,cheapest_insertion,70.9487,33.3353,2.1283,5.4599,,15,3,True,-5.063064,False,False
12,B5,123,batch_reoptimize,70.9487,33.3353,2.1283,5.4599,,15,3,True,-5.063064,False,False
12,B5,7,nearest_neighbor,78.332,36.999,2.1171,5.0613,,16,3,True,-7.732108,False,False
12,B5,7,cheapest_insertion,78.0035,36.999,2.1083,5.0613,,19,4,True,-7.732108,False,False
12,B5,7,batch_reoptimize,78.0035,36.999,2.1083,5.0613,,19,4,True,-7.732108,False,False
12,B5,99,nearest_neighbor,65.6636,38.6359,1.6995,5.189,,20,4,True,-6.025268,False,False
12,B5,99,cheapest_insertion,65.6636,38.6359,1.6995,5.189,,20,4,True,-6.025268,False,False
12,B5,99,batch_reoptimize,65.6636,38.6359,1.6995,5.189,,20,4,True,-6.025268,False,False
12,B5,256,nearest_neighbor,68.7636,35.6291,1.93,4.6965,,13,2,True,-4.400152,False,False
12,B5,256,cheapest_insertion,68.7636,35.6291,1.93,4.6965,,13,2,True,-4.400152,False,False
12,B5,256,batch_reoptimize,68.7636,35.6291,1.93,4.6965,,13,2,True,-4.400152,False,False
12,C,42,nearest_neighbor,48.9214,34.068,1.436,4.8704,1.545,2049,12,True,-1.85723,True,False
12,C,42,cheapest_insertion,41.5726,34.068,1.2203,4.8704,1.545,2049,12,True,-4.412532,True,False
12,C,42,batch_reoptimize,40.8257,34.068,1.1984,4.8704,1.545,2049,12,True,-4.412532,True,False
12,C,123,nearest_neighbor,37.8451,33.3353,1.1353,5.4599,1.2162,2049,12,True,-1.348654,True,False
12,C,123,cheapest_insertion,33.7753,33.3353,1.0132,5.4599,1.2162,2049,12,True,-3.383572,True,False
12,C,123,batch_reoptimize,33.4296,33.3353,1.0028,5.4599,1.2162,2049,12,True,-3.556374,True,False
12,C,7,nearest_neighbor,37.0009,36.999,1.0,5.0613,1.2088,2049,12,True,-3.861805,True,False
12,C,7,cheapest_insertion,38.5452,36.999,1.0418,5.0613,1.2088,2049,12,True,-3.089628,True,False
12,C,7,batch_reoptimize,37.0009,36.999,1.0,5.0613,1.2088,2049,12,True,-3.861805,True,False
12,C,99,nearest_neighbor,49.3411,38.6359,1.2771,5.189,1.1551,2049,12,False,2.356256,True,True
12,C,99,cheapest_insertion,38.7523,38.6359,1.003,5.189,1.1551,2049,12,True,-2.938143,True,False
12,C,99,batch_reoptimize,38.7523,38.6359,1.003,5.189,1.1551,2049,12,True,-2.938143,True,False
12,C,256,nearest_neighbor,50.6885,35.6291,1.4227,4.6965,1.4023,2049,12,False,0.36305,True,True
12,C,256,cheapest_insertion,41.6741,35.6291,1.1697,4.6965,1.4023,2049,12,True,-4.144165,True,False
12,C,256,batch_reoptimize,41.0144,35.6291,1.1511,4.6965,1.4023,2049,12,True,-4.396426,True,False
12,D,42,nearest_neighbor,52.9281,34.068,1.5536,4.8704,,48,5,True,-4.412532,False,False
12,D,42,cheapest_insertion,47.6898,34.068,1.3998,4.8704,,64,6,True,-4.412532,False,False
12,D,42,batch_reoptimize,47.7334,34.068,1.4011,4.8704,,64,6,True,-4.412532,False,False
12,D,123,nearest_neighbor,45.8051,33.3353,1.3741,5.4599,,21,3,True,-5.063064,False,False
12,D,123,cheapest_insertion,43.1393,33.3353,1.2941,5.4599,,21,3,True,-5.063064,False,False
12,D,123,batch_reoptimize,43.1393,33.3353,1.2941,5.4599,,21,3,True,-5.063064,False,False
12,D,7,nearest_neighbor,57.2491,36.999,1.5473,5.0613,,51,5,True,-7.732108,False,False
12,D,7,cheapest_insertion,53.8664,36.999,1.4559,5.0613,,75,6,True,-7.732108,False,False
12,D,7,batch_reoptimize,53.8664,36.999,1.4559,5.0613,,75,6,True,-7.732108,False,False
12,D,99,nearest_neighbor,57.5457,38.6359,1.4894,5.189,,71,6,True,-6.025268,False,False
12,D,99,cheapest_insertion,48.7838,38.6359,1.2627,5.189,,71,6,True,-6.025268,False,False
12,D,99,batch_reoptimize,48.7838,38.6359,1.2627,5.189,,71,6,True,-6.025268,False,False
12,D,256,nearest_neighbor,50.8543,35.6291,1.4273,4.6965,,55,5,True,-4.400152,False,False
12,D,256,cheapest_insertion,52.9425,35.6291,1.4859,4.6965,,63,6,True,-4.400152,False,False
12,D,256,batch_reoptimize,47.747,35.6291,1.3401,4.6965,,55,5,True,-4.400152,False,False
12,E,42,nearest_neighbor,58.3386,34.068,1.7124,4.8704,,353,9,True,-3.857209,False,False
12,E,42,cheapest_insertion,51.8419,34.068,1.5217,4.8704,,577,10,True,-4.412532,False,False
12,E,42,batch_reoptimize,51.8419,34.068,1.5217,4.8704,,577,10,True,-4.412532,False,False
12,E,123,nearest_neighbor,53.6185,33.3353,1.6085,5.4599,,385,9,True,-5.063064,False,False
12,E,123,cheapest_insertion,42.5429,33.3353,1.2762,5.4599,,417,9,True,-5.063064,False,False
12,E,123,batch_reoptimize,46.7321,33.3353,1.4019,5.4599,,417,9,True,-5.063064,False,False
12,E,7,nearest_neighbor,59.7538,36.999,1.615,5.0613,,531,10,True,-7.732108,False,False
12,E,7,cheapest_insertion,50.8354,36.999,1.374,5.0613,,531,10,True,-7.732108,False,False
12,E,7,batch_reoptimize,50.8354,36.999,1.374,5.0613,,531,10,True,-7.732108,False,False
12,E,99,nearest_neighbor,59.1349,38.6359,1.5306,5.189,,177,7,True,-6.025268,False,False
12,E,99,cheapest_insertion,51.5327,38.6359,1.3338,5.189,,193,7,True,-6.025268,False,False
12,E,99,batch_reoptimize,51.1733,38.6359,1.3245,5.189,,177,7,True,-6.025268,False,False
12,E,256,nearest_neighbor,45.217,35.6291,1.2691,4.6965,,53,6,True,-4.400152,False,False
12,E,256,cheapest_insertion,44.2923,35.6291,1.2431,4.6965,,65,6,True,-4.400152,False,False
12,E,256,batch_reoptimize,44.2923,35.6291,1.2431,4.6965,,65,6,True,-4.400152,False,False
15,A,42,nearest_neighbor,38.1049,36.3758,1.0475,5.6906,1.1213,32767,15,False,0.063388,True,False
15,A,42,cheapest_insertion,36.3758,36.3758,1.0,5.6906,1.1213,32767,15,True,-1.473553,True,False
