n,pattern,seed,policy,L,rho,tau,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
12,C,42,cheapest_insertion,3.4641,2.0,0.3562,14.4016,11.8015,1.2203,4.8704,1.545,2049,12,True,-1.528546,True,False
12,C,42,batch_reoptimize,3.4641,2.0,0.3562,14.1429,11.8015,1.1984,4.8704,1.545,2049,12,True,-1.528546,True,False
12,C,99,nearest_neighbor,3.4641,2.0,0.3562,17.0934,13.3839,1.2772,5.189,1.1551,2049,12,False,0.8168,True,True
12,C,99,cheapest_insertion,3.4641,2.0,0.3562,13.4253,13.3839,1.0031,5.189,1.1551,2049,12,True,-1.017233,True,False
12,C,99,batch_reoptimize,3.4641,2.0,0.3562,13.4253,13.3839,1.0031,5.189,1.1551,2049,12,True,-1.017233,True,False
12,C,123,nearest_neighbor,3.4641,2.0,0.3562,13.1108,11.5477,1.1354,5.4599,1.2162,2049,12,True,-0.466726,True,False
12,C,123,cheapest_insertion,3.4641,2.0,0.3562,11.701,11.5477,1.0133,5.4599,1.2162,2049,12,True,-1.171642,True,False
12,C,123,batch_reoptimize,3.4641,2.0,0.3562,11.5813,11.5477,1.0029,5.4599,1.2162,2049,12,True,-1.231502,True,False
12,C,256,nearest_neighbor,3.4641,2.0,0.3562,17.5595,12.3423,1.4227,4.6965,1.4023,2049,12,False,0.125989,True,True
12,C,256,cheapest_insertion,3.4641,2.0,0.3562,14.4368,12.3423,1.1697,4.6965,1.4023,2049,12,True,-1.435356,True,False
12,C,256,batch_reoptimize,3.4641,2.0,0.3562,14.2083,12.3423,1.1512,4.6965,1.4023,2049,12,True,-1.522817,True,False
12,D,7,nearest_neighbor,3.4641,1.0,0.7124,16.9766,12.8168,1.3245,5.0613,,129,7,True,-2.597112,False,False
12,D,7,cheapest_insertion,3.4641,1.0,0.7124,16.0907,12.8168,1.2554,5.0613,,233,8,True,-2.678481,False,False
12,D,7,batch_reoptimize,3.4641,1.0,0.7124,15.5557,12.8168,1.2137,5.0613,,233,8,True,-2.678481,False,False
12,D,42,nearest_neighbor,3.4641,1.0,0.7124,17.2893,11.8015,1.465,4.8704,,129,7,True,-1.528546,False,False
12,D,42,cheapest_insertion,3.4641,1.0,0.7124,14.5818,11.8015,1.2356,4.8704,,129,7,True,-1.528546,False,False
12,D,42,batch_reoptimize,3.4641,1.0,0.7124,14.5818,11.8015,1.2356,4.8704,,129,7,True,-1.528546,False,False
12,D,99,nearest_neighbor,3.4641,1.0,0.7124,18.6196,13.3839,1.3912,5.189,,241,8,True,-2.087214,False,False
12,D,99,cheapest_insertion,3.4641,1.0,0.7124,17.0308,13.3839,1.2725,5.189,,401,9,True,-2.087214,False,False
12,D,99,batch_reoptimize,3.4641,1.0,0.7124,16.8096,13.3839,1.256,5.189,,401,9,True,-2.087214,False,False
12,D,123,nearest_neighbor,3.4641,1.0,0.7124,14.6609,11.5477,1.2696,5.4599,,57,5,True,-1.753897,False,False
12,D,123,cheapest_insertion,3.4641,1.0,0.7124,14.2603,11.5477,1.2349,5.4599,,97,7,True,-1.753897,False,False
12,D,123,batch_reoptimize,3.4641,1.0,0.7124,14.2603,11.5477,1.2349,5.4599,,97,7,True,-1.753897,False,False
12,D,256,nearest_neighbor,3.4641,1.0,0.7124,17.9673,12.3423,1.4557,4.6965,,70,6,True,-1.524257,False,False
12,D,256,cheapest_insertion,3.4641,1.0,0.7124,14.7617,12.3423,1.196,4.6965,,70,6,True,-1.524257,False,False
12,D,256,batch_reoptimize,3.4641,1.0,0.7124,14.6078,12.3423,1.1836,4.6965,,70,6,True,-1.524257,False,False
