n,pattern,seed,policy,L,rho,tau,C_N_online,c_star_N,r,r_star,r_ss,n_feasible,k,core_nonempty,core_epsilon,theorem11_applicable,theorem11_fires
5,A,7,nearest_neighbor,2.2361,inf,0.0,8.2522,6.7467,1.2231,2.5319,1.3167,31,5,False,0.395498,True,False
5,A,7,cheapest_insertion,2.2361,inf,0.0,6.7467,6.7467,1.0,2.5319,1.3167,31,5,True,-0.804839,True,False
5,A,7,batch_reoptimize,2.2361,inf,0.0,6.7467,6.7467,1.0,2.5319,1.3167,31,5,True,-0.804839,True,False
5,A,42,nearest_neighbor,2.2361,inf,0.0,6.256,5.9151,1.0576,3.0129,1.1663,31,5,True,-0.321283,True,False
5,A,42,cheapest_insertion,2.2361,inf,0.0,5.9151,5.9151,1.0,3.0129,1.1663,31,5,True,-0.491737,True,False
5,A,42,batch_reoptimize,2.2361,inf,0.0,5.9151,5.9151,1.0,3.0129,1.1663,31,5,True,-0.491737,True,False
5,A,99,nearest_neighbor,2.2361,inf,0.0,6.0732,5.7496,1.0563,3.0608,1.2331,31,5,True,-0.508189,True,False
5,A,99,cheapest_insertion,2.2361,inf,0.0,5.7496,5.7496,1.0,3.0608,1.2331,31,5,True,-0.669998,True,False
5,A,99,batch_reoptimize,2.2361,inf,0.0,5.7496,5.7496,1.0,3.0608,1.2331,31,5,True,-0.669998,True,False
5,A,123,nearest_neighbor,2.2361,inf,0.0,6.3529,6.1072,1.0402,2.9295,1.3378,31,5,True,-0.471278,True,False
5,A,123,cheapest_insertion,2.2361,inf,0.0,6.1199,6.1072,1.0021,2.9295,1.3378,31,5,True,-0.657657,True,False
5,A,123,batch_reoptimize,2.2361,inf,0.0,6.1072,6.1072,1.0,2.9295,1.3378,31,5,True,-0.667808,True,False
5,A,256,nearest_neighbor,2.2361,inf,0.0,6.1648,5.1672,1.1931,2.1502,1.1835,31,5,False,0.18882,True,True
5,A,256,cheapest_insertion,2.2361,inf,0.0,5.1672,5.1672,1.0,2.1502,1.1835,31,5,True,-0.47419,True,False
5,A,256,batch_reoptimize,2.2361,inf,0.0,5.1672,5.1672,1.0,2.1502,1.1835,31,5,True,-0.47419,True,False
